date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:12:13	86330/86330	---MCZ	200	added ('OK')	text/html	etag:W/%2263db9fc1-1513a%22	https://html.themexriver.com/Saasio/index.html	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/index.html	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:13	92788/92788	---MCZ	200	added ('OK')	text/html	etag:W/%2263db9fc1-16a74%22	https://html.themexriver.com/Saasio/index-2.html	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/index-2.html	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:13	81342/81342	---MCZ	200	added ('OK')	text/html	etag:W/%2263db9fc1-13dbe%22	https://html.themexriver.com/Saasio/about.html	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/about.html	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:14	75193/75193	---MCZ	403	error ('Forbidden')	text/html	date:Fri,%2003%20Mar%202023%2019:12:14%20GMT	https://html.themexriver.com/Saasio/project.html	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/project.html	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:14	75193/75193	---MCZ	403	error ('Forbidden')	text/html	date:Fri,%2003%20Mar%202023%2019:12:15%20GMT	https://html.themexriver.com/Saasio/project-2.html	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/project-2.html	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:14	47748/47748	---MCZ	200	added ('OK')	text/html	etag:W/%2263db9fc1-ba84%22	https://html.themexriver.com/Saasio/project-single.html	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/project-single.html	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:15	107368/107368	---MCZ	200	added ('OK')	text/html	etag:W/%2263db9fc1-1a368%22	https://html.themexriver.com/Saasio/service.html	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/service.html	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:15	75193/75193	---MCZ	403	error ('Forbidden')	text/html	date:Fri,%2003%20Mar%202023%2019:12:15%20GMT	https://html.themexriver.com/Saasio/service-single.html	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/service-single.html	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:15	79497/79497	---MCZ	200	added ('OK')	text/html	etag:W/%2263db9fc1-13689%22	https://html.themexriver.com/Saasio/team.html	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/team.html	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:15	75193/75193	---MCZ	403	error ('Forbidden')	text/html	date:Fri,%2003%20Mar%202023%2019:12:16%20GMT	https://html.themexriver.com/Saasio/team-single.html	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/team-single.html	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:16	49607/49607	---MCZ	200	added ('OK')	text/html	etag:W/%2263db9fc1-c1c7%22	https://html.themexriver.com/Saasio/faq.html	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/faq.html	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:16	75193/75193	---MCZ	403	error ('Forbidden')	text/html	date:Fri,%2003%20Mar%202023%2019:12:16%20GMT	https://html.themexriver.com/Saasio/pricing.html	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/pricing.html	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:16	75193/75193	---MCZ	403	error ('Forbidden')	text/html	date:Fri,%2003%20Mar%202023%2019:12:17%20GMT	https://html.themexriver.com/Saasio/shop.html	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/shop.html	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:16	75193/75193	---MCZ	403	error ('Forbidden')	text/html	date:Fri,%2003%20Mar%202023%2019:12:17%20GMT	https://html.themexriver.com/Saasio/shop-single.html	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/shop-single.html	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:16	53215/53215	---MCZ	200	added ('OK')	text/html	etag:W/%2263db9fc1-cfdf%22	https://html.themexriver.com/Saasio/blog.html	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/blog.html	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:17	75193/75193	---MCZ	403	error ('Forbidden')	text/html	date:Fri,%2003%20Mar%202023%2019:12:17%20GMT	https://html.themexriver.com/Saasio/blog-2.html	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/blog-2.html	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:17	55561/55561	---MCZ	200	added ('OK')	text/html	etag:W/%2263db9fc1-d909%22	https://html.themexriver.com/Saasio/blog-single.html	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/blog-single.html	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:17	59376/59376	---MCZ	200	added ('OK')	text/html	etag:W/%2263db9fc1-e7f0%22	https://html.themexriver.com/Saasio/contact.html	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/contact.html	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:17	83800/83800	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2003%20Mar%202023%2019:12:18%20GMT	https://html.themexriver.com/Saasio/assets/img/it-solution-2/logo/logo-2.png	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/img/it-solution-2/logo/logo-2.png	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:18	11869/11869	---M--	200	added ('OK')	image/png	etag:%2263db9fbe-2e5d%22	https://html.themexriver.com/Saasio/assets/img/it-solution-2/gallery/01.png	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/img/it-solution-2/gallery/01.png	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:18	14878/14878	---M--	200	added ('OK')	image/png	etag:%2263db9fbe-3a1e%22	https://html.themexriver.com/Saasio/assets/img/it-solution-2/gallery/02.png	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/img/it-solution-2/gallery/02.png	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:18	14044/14044	---M--	200	added ('OK')	image/png	etag:%2263db9fbe-36dc%22	https://html.themexriver.com/Saasio/assets/img/it-solution-2/gallery/03.png	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/img/it-solution-2/gallery/03.png	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:18	11573/11573	---M--	200	added ('OK')	image/png	etag:%2263db9fbe-2d35%22	https://html.themexriver.com/Saasio/assets/img/it-solution-2/gallery/04.png	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/img/it-solution-2/gallery/04.png	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:18	12384/12384	---M--	200	added ('OK')	image/png	etag:%2263db9fbe-3060%22	https://html.themexriver.com/Saasio/assets/img/it-solution-2/gallery/05.png	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/img/it-solution-2/gallery/05.png	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:19	11694/11694	---M--	200	added ('OK')	image/png	etag:%2263db9fbe-2dae%22	https://html.themexriver.com/Saasio/assets/img/it-solution-2/gallery/06.png	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/img/it-solution-2/gallery/06.png	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:19	177940/177940	---M--	200	added ('OK')	image/jpeg	etag:%2263db9fbe-2b714%22	https://html.themexriver.com/Saasio/assets/img/it-solution-2/banner/banner-bg.jpg	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/img/it-solution-2/banner/banner-bg.jpg	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:47	670877/670877	---M--	200	added ('OK')	image/png	etag:%2263db9fbe-a3c9d%22	https://html.themexriver.com/Saasio/assets/img/it-solution-2/banner/bn1.png	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/img/it-solution-2/banner/bn1.png	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:48	275745/275745	---M--	200	added ('OK')	image/png	etag:%2263db9fbe-43521%22	https://html.themexriver.com/Saasio/assets/img/it-solution-2/banner/img-shape.png	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/img/it-solution-2/banner/img-shape.png	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:48	4226/4226	---M--	200	added ('OK')	image/png	etag:%2263db9fbe-1082%22	https://html.themexriver.com/Saasio/assets/img/it-solution-2/icon/ic4.png	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/img/it-solution-2/icon/ic4.png	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:48	145263/145263	---M--	200	added ('OK')	image/png	etag:%2263db9fbe-2376f%22	https://html.themexriver.com/Saasio/assets/img/it-solution-2/about/ab1.png	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/img/it-solution-2/about/ab1.png	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:48	1619/1619	---M--	200	added ('OK')	image/png	etag:%2263db9fbe-653%22	https://html.themexriver.com/Saasio/assets/img/it-solution-2/icon/ic3.png	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/img/it-solution-2/icon/ic3.png	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:48	2928/2928	---M--	200	added ('OK')	image/png	etag:%2263db9fbe-b70%22	https://html.themexriver.com/Saasio/assets/img/it-solution-2/icon/ic2.png	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/img/it-solution-2/icon/ic2.png	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:48	1332/1332	---M--	200	added ('OK')	image/png	etag:%2263db9fbe-534%22	https://html.themexriver.com/Saasio/assets/img/it-solution-2/icon/ic1.png	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/img/it-solution-2/icon/ic1.png	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:49	1782/1782	---M--	200	added ('OK')	image/png	etag:%2263db9fbe-6f6%22	https://html.themexriver.com/Saasio/assets/img/it-solution-2/icon/ic6.png	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/img/it-solution-2/icon/ic6.png	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:49	608553/608553	---M--	200	added ('OK')	image/png	etag:%2263db9fbe-94929%22	https://html.themexriver.com/Saasio/assets/img/it-solution-2/about/sk.png	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/img/it-solution-2/about/sk.png	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:49	2311/2311	---M--	200	added ('OK')	image/png	etag:%2263db9fbe-907%22	https://html.themexriver.com/Saasio/assets/img/it-solution-2/icon/ic8.png	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/img/it-solution-2/icon/ic8.png	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:49	1901/1901	---M--	200	added ('OK')	image/png	etag:%2263db9fbe-76d%22	https://html.themexriver.com/Saasio/assets/img/it-solution-2/icon/ic7.png	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/img/it-solution-2/icon/ic7.png	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:50	2273/2273	---M--	200	added ('OK')	image/png	etag:%2263db9fbe-8e1%22	https://html.themexriver.com/Saasio/assets/img/it-solution-2/icon/ic5.png	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/img/it-solution-2/icon/ic5.png	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:50	75193/75193	---MCZ	403	error ('Forbidden')	text/html	date:Fri,%2003%20Mar%202023%2019:12:51%20GMT	https://html.themexriver.com/Saasio/$	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/$	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:50	273778/273778	---M--	200	added ('OK')	image/png	etag:%2263db9fbe-42d72%22	https://html.themexriver.com/Saasio/assets/img/it-solution-2/project/pro1.png	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/img/it-solution-2/project/pro1.png	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:51	314217/314217	---M--	200	added ('OK')	image/png	etag:%2263db9fbe-4cb69%22	https://html.themexriver.com/Saasio/assets/img/it-solution-2/project/pro2.png	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/img/it-solution-2/project/pro2.png	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:51	293212/293212	---M--	200	added ('OK')	image/png	etag:%2263db9fbe-4795c%22	https://html.themexriver.com/Saasio/assets/img/it-solution-2/project/pro3.png	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/img/it-solution-2/project/pro3.png	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:51	101400/101400	---M--	200	added ('OK')	image/png	etag:%2263db9fbe-18c18%22	https://html.themexriver.com/Saasio/assets/img/it-solution-2/team/tm2.png	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/img/it-solution-2/team/tm2.png	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:51	115790/115790	---M--	200	added ('OK')	image/png	etag:%2263db9fbe-1c44e%22	https://html.themexriver.com/Saasio/assets/img/it-solution-2/team/tm1.png	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/img/it-solution-2/team/tm1.png	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:52	130302/130302	---M--	200	added ('OK')	image/png	etag:%2263db9fbe-1fcfe%22	https://html.themexriver.com/Saasio/assets/img/it-solution-2/team/tm3.png	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/img/it-solution-2/team/tm3.png	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:52	117508/117508	---M--	200	added ('OK')	image/png	etag:%2263db9fbe-1cb04%22	https://html.themexriver.com/Saasio/assets/img/it-solution-2/team/tm4.png	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/img/it-solution-2/team/tm4.png	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:52	2722/2722	---M--	200	added ('OK')	image/png	etag:%2263db9fbe-aa2%22	https://html.themexriver.com/Saasio/assets/img/it-solution-2/about/tst1.png	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/img/it-solution-2/about/tst1.png	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:52	4001/4001	---M--	200	added ('OK')	image/png	etag:%2263db9fbe-fa1%22	https://html.themexriver.com/Saasio/assets/img/it-solution-2/sponsor/sp1.png	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/img/it-solution-2/sponsor/sp1.png	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:52	3164/3164	---M--	200	added ('OK')	image/png	etag:%2263db9fbe-c5c%22	https://html.themexriver.com/Saasio/assets/img/it-solution-2/sponsor/sp2.png	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/img/it-solution-2/sponsor/sp2.png	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:53	3331/3331	---M--	200	added ('OK')	image/png	etag:%2263db9fbe-d03%22	https://html.themexriver.com/Saasio/assets/img/it-solution-2/sponsor/sp3.png	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/img/it-solution-2/sponsor/sp3.png	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:53	4778/4778	---M--	200	added ('OK')	image/png	etag:%2263db9fbe-12aa%22	https://html.themexriver.com/Saasio/assets/img/it-solution-2/sponsor/sp4.png	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/img/it-solution-2/sponsor/sp4.png	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:53	4697/4697	---M--	200	added ('OK')	image/png	etag:%2263db9fbe-1259%22	https://html.themexriver.com/Saasio/assets/img/it-solution-2/sponsor/sp5.png	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/img/it-solution-2/sponsor/sp5.png	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:53	180295/180295	---M--	200	added ('OK')	image/png	etag:%2263db9fbe-2c047%22	https://html.themexriver.com/Saasio/assets/img/it-solution-2/blog/blg1.png	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/img/it-solution-2/blog/blg1.png	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:54	178731/178731	---M--	200	added ('OK')	image/png	etag:%2263db9fbe-2ba2b%22	https://html.themexriver.com/Saasio/assets/img/it-solution-2/blog/blg3.png	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/img/it-solution-2/blog/blg3.png	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:54	80438/80438	---M--	200	added ('OK')	image/png	etag:%2263db9fbe-13a36%22	https://html.themexriver.com/Saasio/assets/img/it-solution-2/blog/blg2.png	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/img/it-solution-2/blog/blg2.png	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:54	97162/97162	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263db9fc0-17b8a%22	https://html.themexriver.com/Saasio/assets/js/jquery.js	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/js/jquery.js	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:54	50731/50731	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263db9fc0-c62b%22	https://html.themexriver.com/Saasio/assets/js/bootstrap.min.js	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/js/bootstrap.min.js	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:54	20340/20340	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263db9fc0-4f74%22	https://html.themexriver.com/Saasio/assets/js/popper.min.js	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/js/popper.min.js	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:55	3483/3483	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263db9fc0-d9b%22	https://html.themexriver.com/Saasio/assets/js/appear-2.js	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/js/appear-2.js	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:55	41666/41666	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263db9fc0-a2c2%22	https://html.themexriver.com/Saasio/assets/js/slick.js	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/js/slick.js	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:55	8416/8416	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263db9fc0-20e0%22	https://html.themexriver.com/Saasio/assets/js/wow.min.js	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/js/wow.min.js	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:55	10006/10006	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263db9fc0-2716%22	https://html.themexriver.com/Saasio/assets/js/countdown.js	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/js/countdown.js	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:55	20219/20219	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263db9fc0-4efb%22	https://html.themexriver.com/Saasio/assets/js/jquery.magnific-popup.min.js	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/js/jquery.magnific-popup.min.js	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:56	9101/9101	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263db9fc0-238d%22	https://html.themexriver.com/Saasio/assets/js/it-solution-2.js	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/js/it-solution-2.js	(from https://html.themexriver.com/Saasio/index-49.1.html)
14:12:56	99704/99704	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2218578-5f3b5f23f99e2%22	https://html.themexriver.com/Saasio/assets/fonts/fa-brands-400.eot	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/fonts/fa-brands-400.eot	(from https://html.themexriver.com/Saasio/assets/css/fontawesome-all.css)
14:12:56	99704/99704	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2218578-5f3b5f23f99e2%22	https://html.themexriver.com/Saasio/assets/fonts/fa-brands-400.eot?	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/fonts/fa-brands-400d41d.eot	(from https://html.themexriver.com/Saasio/assets/css/fontawesome-all.css)
14:12:57	55144/55144	---M--	200	added ('OK')	font/woff2	etag:%2263db9fbe-d768%22	https://html.themexriver.com/Saasio/assets/fonts/fa-brands-400.woff2	F:/abdul-Hadi/https___html.themexriver.com_Saasio_index-49.1.html/html.themexriver.com/Saasio/assets/fonts/fa-brands-400.woff2	(from https://html.themexriver.com/Saasio/assets/css/fontawesome-all.css)
